pmid,pmcid,title,journal,insert_time
27090254,PMC4835428,"32nd International Austrian Winter Symposium : Zell am See, the Netherlands. 20-23 January 2016.",EJNMMI Res,2023-12-17-22-14-37
27121059,PMC5078066,RB1 is the crucial target of the Merkel cell polyomavirus Large T antigen in Merkel cell carcinoma cells.,Oncotarget,2023-12-17-22-14-37
27161548,PMC5022067,A 76 year old male with an unusual presentation of merkel cell carcinoma.,Int J Surg Case Rep,2023-12-17-22-14-37
27242703,PMC4865503,Strategies for Human Tumor Virus Discoveries: From Microscopic Observation to Digital Transcriptome Subtraction.,Front Microbiol,2023-12-17-22-14-37
27257527,PMC4890101,Complete Spontaneous Regression of Merkel Cell Carcinoma Metastatic to the Liver: Did Lifestyle Modifications and Dietary Supplements Play a Role?,Glob Adv Health Med,2023-12-17-22-14-37
27293394,PMC4899652,Merkel Cell Carcinoma with Spontaneous Regression: A Case Report and Immunohistochemical Study.,Case Rep Dermatol,2023-12-17-22-14-37
27303490,PMC4896012,Isolated Tibial Metastasis from Merkel Cell Carcinoma.,Radiol Case Rep,2023-12-17-22-14-37
27303574,PMC4894725,[Cutaneous Merkel cell carcinoma: role of 18FDG PET-CT].,Pan Afr Med J,2023-12-17-22-14-37
27306779,PMC4938352,Dosimetric comparison of axilla and groin radiotherapy techniques for high-risk and locally advanced skin cancer.,Radiat Oncol J,2023-12-17-22-14-37
27388771,PMC4936261,Frequent detection of human polyomavirus 6 in keratoacanthomas.,Diagn Pathol,2023-12-17-22-14-37
27431483,PMC5055152,Response rates and durability of chemotherapy among 62 patients with metastatic Merkel cell carcinoma.,Cancer Med,2023-12-17-22-14-37
27437129,PMC4939235,Prevalence of Merkel Cell Polyomavirus in Tehran: An Age-Specific Serological Study.,Iran Red Crescent Med J,2023-12-17-22-14-37
27500228,PMC4946475,Skin Cancer in the Crosshairs: Highlights from the Biennial Scientific Retreat of International Transplant Skin Cancer Collaborative and Skin Care in Organ Transplant Recipients Europe.,Transplant Direct,2023-12-17-22-14-37
27574444,PMC4990391,PD-L1 expression in human cancers and its association with clinical outcomes.,Onco Targets Ther,2023-12-17-22-14-37
27611953,PMC5341821,Clustered somatic mutations are frequent in transcription factor binding motifs within proximal promoter regions in melanoma and other cutaneous malignancies.,Oncotarget,2023-12-17-22-14-37
27765804,PMC5055286,Cerebral metastases from Merkel cell carcinoma: long-term survival.,J Surg Case Rep,2023-12-17-22-14-37
27782080,PMC5086624,In Vitro and In Vivo Models for the Study of Human Polyomavirus Infection.,Viruses,2023-12-17-22-14-37
27814751,PMC5097413,Recurrent Merkel cell carcinoma of the testis with unknown primary site: a case report.,J Med Case Rep,2023-12-17-22-14-37
27879975,PMC5109712,Metastatic Merkel cell carcinoma response to nivolumab.,J Immunother Cancer,2023-12-17-22-14-37
27880818,PMC5120958,Merkel Cell Polyomavirus Small T Antigen Promotes Pro-Glycolytic Metabolic Perturbations Required for Transformation.,PLoS Pathog,2023-12-17-22-14-37
27978533,PMC5243985,"History of chronic inflammatory disorders increases the risk of Merkel cell carcinoma, but does not correlate with Merkel cell polyomavirus infection.",Br J Cancer,2023-12-17-22-14-37
28049147,PMC5210499,Merkel Cell Polyomavirus Exhibits Dominant Control of the Tumor Genome and Transcriptome in Virus-Associated Merkel Cell Carcinoma.,mBio,2023-12-17-22-14-37
28104648,PMC5255931,Identification of Merkel Cell Polyomavirus from a Patient with Acute Myeloid Leukemia.,Genome Announc,2023-12-17-22-14-37
28116137,PMC5242196,Merkel cell polyomavirus and cutaneous Merkel cell carcinoma.,Future Sci OA,2023-12-17-22-14-37
28138393,PMC5264489,Clinical features and treatment of vulvar Merkel cell carcinoma: a systematic review.,Gynecol Oncol Res Pract,2023-12-17-22-14-37
28143624,PMC5282901,Merkel cell carcinoma occurring in a black woman: a case report.,J Med Case Rep,2023-12-17-22-14-37
28250307,PMC5399212,Potential Activity of Amrubicin as a Salvage Therapy for Merkel Cell Carcinoma.,Intern Med,2023-12-17-22-14-37
28281550,PMC5451312,Reduced H3K27me3 expression in Merkel cell polyoma virus-positive tumors.,Mod Pathol,2023-12-17-22-14-37
28286652,PMC5340072,Erratum to: Metastatic Merkel cell carcinoma response to nivolumab.,J Immunother Cancer,2023-12-17-22-14-37
28350180,PMC6040046,"Systematic literature review of efficacy, safety and tolerability outcomes of chemotherapy regimens in patients with metastatic Merkel cell carcinoma.",Future Oncol,2023-12-17-22-14-37
28359267,PMC5374569,Aberrant expression of ALK and EZH2 in Merkel cell carcinoma.,BMC Cancer,2023-12-17-22-14-37
28367486,PMC5361867,Multiple Merkel cell carcinomas: Late metastasis or multiple primary tumors? A molecular study.,JAAD Case Rep,2023-12-17-22-14-37
28443305,PMC5394182,Talimogene laherparepvec for regionally advanced Merkel cell carcinoma: A report of 2 cases.,JAAD Case Rep,2023-12-17-22-14-37
28445980,PMC5421940,The PP4R1 sub-unit of protein phosphatase PP4 is essential for inhibition of NF-κB by merkel polyomavirus small tumour antigen.,Oncotarget,2023-12-17-22-14-37
28484898,PMC5453924,"Virus-Induced Cancers of the Skin and Mucosa: Are We Dealing with ""Smoking Guns"" or ""Smoke and Mirrors"" in the Operating Theatre?",Dermatol Ther (Heidelb),2023-12-17-22-14-37
28491954,PMC5418663,A systematic review of patients with Merkel cell carcinoma of the head and neck and a negative sentinel lymph node biopsy.,Int J Womens Dermatol,2023-12-17-22-14-37
28507493,PMC5420606,Comparison of the incidence of skin cancers in patients on dialysis and after kidney transplantation.,Postepy Dermatol Alergol,2023-12-17-22-14-37
28536458,PMC5442125,Epigenetic priming restores the HLA class-I antigen processing machinery expression in Merkel cell carcinoma.,Sci Rep,2023-12-17-22-14-37
28540062,PMC5433554,Frequency and locations of systemic metastases in Merkel cell carcinoma by imaging.,Acta Radiol Open,2023-12-17-22-14-37
28717398,PMC5502952,Preclinical evaluation of NF-κB-triggered dendritic cells expressing the viral oncogenic driver of Merkel cell carcinoma for therapeutic vaccination.,Ther Adv Med Oncol,2023-12-17-22-14-37
28740879,PMC5506742,First case of Merkel cell carcinoma in a young patient with Sweet syndrome.,Adv Radiat Oncol,2023-12-17-22-14-37
28740894,PMC5514235,Postoperative radiation therapy is associated with a reduced risk of local recurrence among low risk Merkel cell carcinomas of the head and neck.,Adv Radiat Oncol,2023-12-17-22-14-37
28762116,PMC5596053,Merkel Cell Carcinoma of the Head and Neck: Recommendations for Diagnostics and Treatment.,Ann Surg Oncol,2023-12-17-22-14-37
28763479,PMC5538748,Expression of Merkelcell polyomavirus (MCPyV) large T-antigen in Merkel cell carcinoma lymph node metastases predicts poor outcome.,PLoS One,2023-12-17-22-14-37
28785347,PMC5535672,Mushroom-Like Skin Tumours: Report of Three Cases.,Open Access Maced J Med Sci,2023-12-17-22-14-37
28821198,PMC5848429,CD200 Expression in Neuroendocrine Neoplasms.,Am J Clin Pathol,2023-12-17-22-14-37
28868044,PMC5563365,Merkel Cell Carcinoma with Distant Metastasis to the Clivus Causing Symptoms Mimicking Tolosa-Hunt Syndrome: A Case Report and Literature Review.,Front Neurol,2023-12-17-22-14-37
28868202,PMC5569392,A thoracic vertebral localization of a metastasized cutaneous Merkel cell carcinoma: Case report and review of literature.,Surg Neurol Int,2023-12-17-22-14-37
28878663,PMC5582522,Subacute Cerebellar Degeneration due to a Paraneoplastic Phenomenon Associated with Metastatic Merkel Cell Carcinoma: A Case Report.,Case Rep Oncol,2023-12-17-22-14-37
28893932,PMC5597732,Tumour virology in the era of high-throughput genomics.,Philos Trans R Soc Lond B Biol Sci,2023-12-17-22-14-37
28895885,PMC5615338,Anaplastic Lymphoma Kinase in Cutaneous Malignancies.,Cancers (Basel),2023-12-17-22-14-37
28931417,PMC5607566,Sentinel lymph node biopsy in periocular merkel cell carcinoma: a case report.,BMC Res Notes,2023-12-17-22-14-37
28966943,PMC5616203,"Understanding the influence of patient demographics on disease severity, treatment strategy, and survival outcomes in merkel cell carcinoma: a surveillance, epidemiology, and end-results study.",Oncoscience,2023-12-17-22-14-37
29028833,PMC5640240,Merkel cell polyomavirus recruits MYCL to the EP400 complex to promote oncogenesis.,PLoS Pathog,2023-12-17-22-14-37
29033592,PMC5628662,Is this the end of cytotoxic chemotherapy in Merkel cell carcinoma?,Onco Targets Ther,2023-12-17-22-14-37
29034299,PMC5635246,A case of Merkel cell carcinoma development under treatment with a Janus kinase inhibitor.,JAAD Case Rep,2023-12-17-22-14-37
29085720,PMC5661159,Dermoscopic assessment of vascular structures in solitary small pink lesions-differentiating between good and evil.,Dermatol Pract Concept,2023-12-17-22-14-37
29093086,PMC5752956,Merkel Cell Polyomavirus Small T Antigen Drives Cell Motility via Rho-GTPase-Induced Filopodium Formation.,J Virol,2023-12-17-22-14-37
29108353,PMC5668086,Evaluation of real-world treatment outcomes in patients with distant metastatic Merkel cell carcinoma following second-line chemotherapy in Europe.,Oncotarget,2023-12-17-22-14-37
29145324,PMC5704869,A rare case of Merkel cell carcinoma presenting as a giant intra-thoracic mass: A case report and review of the literature.,Medicine (Baltimore),2023-12-17-22-14-37
29166764,PMC5964287,Merkel Cell Carcinoma Metastatic to Pleural Fluid: A Case Report.,J Pathol Transl Med,2023-12-17-22-14-37
29186254,PMC5514582,Merkel cell carcinoma in an immunosuppressed patient.,An Bras Dermatol,2023-12-17-22-14-37
29220526,PMC5800826,Anti-PD-L1 Treatment Induced Central Diabetes Insipidus.,J Clin Endocrinol Metab,2023-12-17-22-14-37
29273043,PMC5741938,Psychometric properties of the FACT-M questionnaire in patients with Merkel cell carcinoma.,Health Qual Life Outcomes,2023-12-17-22-14-37
29298730,PMC5795275,Cytokine release syndrome after radiation therapy: case report and review of the literature.,J Immunother Cancer,2023-12-17-22-14-37
29321666,PMC5854515,Are there multiple cells of origin of Merkel cell carcinoma?,Oncogene,2023-12-17-22-14-37
29347993,PMC5774167,"Updated efficacy of avelumab in patients with previously treated metastatic Merkel cell carcinoma after ≥1 year of follow-up: JAVELIN Merkel 200, a phase 2 clinical trial.",J Immunother Cancer,2023-12-17-22-14-37
29462791,PMC5868249,The cellular chloride channels CLIC1 and CLIC4 contribute to virus-mediated cell motility.,J Biol Chem,2023-12-17-22-14-37
29484009,PMC5816283,"Peri - and Intraocular Mutilating Advanced Squamous Cell Carcinoma: ""Monsters Inside Your Body""?",Open Access Maced J Med Sci,2023-12-17-22-14-37
29509994,PMC6175323,A short-term in vivo model for Merkel Cell Carcinoma.,Exp Dermatol,2023-12-17-22-14-37
29512061,PMC6019419,Living with Merkel Cell Carcinoma (MCC): Development of a Conceptual Model of MCC Based on Patient Experiences.,Patient,2023-12-17-22-14-37
29523198,PMC5845200,Compassionate use programs in Italy: ethical guidelines.,BMC Med Ethics,2023-12-17-22-14-37
29531741,PMC5838268,CK 20-positive and CK 7-negative Merkel cell carcinoma of the cheek.,Clin Case Rep,2023-12-17-22-14-37
29535979,PMC5840183,Immunotherapy in Merkel cell carcinoma: role of Avelumab.,Immunotargets Ther,2023-12-17-22-14-37
29560342,PMC5845720,Merkel Cell Carcinoma: An Update and Immunotherapy.,Front Oncol,2023-12-17-22-14-37
29566749,PMC5865292,Immunotherapy for Merkel cell carcinoma: a turning point in patient care.,J Immunother Cancer,2023-12-17-22-14-37
29568287,PMC5852106,The Human Polyomavirus Middle and Alternative T-Antigens; Thoughts on Roles and Relevance to Cancer.,Front Microbiol,2023-12-17-22-14-37
29627970,PMC6074072,Merkel cell carcinoma in the community setting: a case report.,Radiat Oncol J,2023-12-17-22-14-37
29632550,PMC5887205,Role of BK human polyomavirus in cancer.,Infect Agent Cancer,2023-12-17-22-14-37
29696010,PMC5905237,Characterization of a Merkel Cell Polyomavirus-Positive Merkel Cell Carcinoma Cell Line CVG-1.,Front Microbiol,2023-12-17-22-14-37
29706615,PMC5952731,Clinical Benefit from Tyrosine Kinase Inhibitors in Metastatic Merkel Cell Carcinoma: A Case Series of 5 Patients.,Am J Case Rep,2023-12-17-22-14-37
29731938,PMC5927501,Treatment of a Patient with Merkel Cell Skin Carcinoma Using Radiation Therapy - A Case Report.,Open Access Maced J Med Sci,2023-12-17-22-14-37
29780576,PMC5952917,Merkel cell carcinoma: extended lymphadenectomy and reconstruction with biosynthetic prosthesis.,J Surg Case Rep,2023-12-17-22-14-37
29785334,PMC5955084,Radiotherapy for inoperable Merkel cell carcinoma: a systematic review and pooled analysis.,Dermatol Pract Concept,2023-12-17-22-14-37
29848371,PMC5977737,In-field and abscopal response after short-course radiation therapy in patients with metastatic Merkel cell carcinoma progressing on PD-1 checkpoint blockade: a case series.,J Immunother Cancer,2023-12-17-22-14-37
29881592,PMC5985991,Merkel cell carcinoma with intramedullary spinal cord metastasis: a very rare clinical finding.,Clin Case Rep,2023-12-17-22-14-37
29914528,PMC6006962,How to address the challenges of evaluating treatment benefits-risks in rare diseases? A convergent mixed methods approach applied within a Merkel cell carcinoma phase 2 clinical trial.,Orphanet J Rare Dis,2023-12-17-22-14-37
29949882,PMC6073391,MicroRNAs as Potential Biomarkers in Merkel Cell Carcinoma.,Int J Mol Sci,2023-12-17-22-14-37
30002656,PMC6031714,Biomarkers for Clinical Benefit of Immune Checkpoint Inhibitor Treatment-A Review From the Melanoma Perspective and Beyond.,Front Immunol,2023-12-17-22-14-37
30023412,PMC6047308,An enlarging subcutaneous nodule on the hand.,JAAD Case Rep,2023-12-17-22-14-37
30032450,PMC6054830,(18)F-FDG and (68)Ga-somatostatin analogs PET/CT in patients with Merkel cell carcinoma: a comparison study.,EJNMMI Res,2023-12-17-22-14-37
30034316,PMC6046621,Avelumab inducing hypothyroidism and hypoadrenalism: A case report and review of literature.,EXCLI J,2023-12-17-22-14-37
30038704,PMC6049866,Phosphatidylinositol 3-kinase p110δ expression in Merkel cell carcinoma.,Oncotarget,2023-12-17-22-14-37
30085832,PMC6223512,"Burden of Disease, Early Diagnosis, and Treatment of Merkel Cell Carcinoma in Latin America.",J Glob Oncol,2023-12-17-22-14-37
30093989,PMC6077808,An unusual presentation of Merkel cell carcinoma: a case report.,J Surg Case Rep,2023-12-17-22-14-37
30094073,PMC6069912,"Phase I, open-label study of pasireotide in patients with BRAF-wild type and NRAS-wild type, unresectable and/or metastatic melanoma.",ESMO Open,2023-12-17-22-14-37
30134914,PMC6103986,Merkel cell polyomavirus and Langerhans cell neoplasm.,Cell Commun Signal,2023-12-17-22-14-37
30140209,PMC6103370,Favorable Response to Treatment with Avelumab in an HIV-Positive Patient with Advanced Merkel Cell Carcinoma Previously Refractory to Chemotherapy.,Case Rep Oncol,2023-12-17-22-14-37
30140381,PMC6101144,CCL17/TARC and CCR4 expression in Merkel cell carcinoma.,Oncotarget,2023-12-17-22-14-37
30151102,PMC6101496,Merkel-cell carcinoma of the upper limb.,J Surg Case Rep,2023-12-17-22-14-37
30170630,PMC6117974,Fatal enteric plexus neuropathy after one dose of ipilimumab plus nivolumab: a case report.,J Immunother Cancer,2023-12-17-22-14-37
30188954,PMC6143273,Cellular sheddases are induced by Merkel cell polyomavirus small tumour antigen to mediate cell dissociation and invasiveness.,PLoS Pathog,2023-12-17-22-14-37
30249978,PMC6210570,Prognostic Factors in Merkel Cell Carcinoma: A Retrospective Single-Center Study in 90 Patients.,Cancers (Basel),2023-12-17-22-14-37
30250229,PMC6155241,Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA.,Nat Commun,2023-12-17-22-14-37
30267216,PMC6244682,Computed tomography accelerates staging in patients with Merkel cell carcinoma.,Eur Arch Otorhinolaryngol,2023-12-17-22-14-37
30282431,PMC6177680,Primary Merkel cell carcinoma of the earlobe in a young healthy man.,Arch Craniofac Surg,2023-12-17-22-14-37
30285852,PMC6167897,"Multidimensional, quantitative assessment of PD-1/PD-L1 expression in patients with Merkel cell carcinoma and association with response to pembrolizumab.",J Immunother Cancer,2023-12-17-22-14-37
30287935,PMC6319370,The biology and treatment of Merkel cell carcinoma: current understanding and research priorities.,Nat Rev Clin Oncol,2023-12-17-22-14-37
30348121,PMC6198491,A case report of eyelid Merkel cell carcinoma occurring under treatment with nivolumab for a lung adenocarcinoma.,BMC Cancer,2023-12-17-22-14-37
30352098,PMC6198985,Seroprevalence of fourteen human polyomaviruses determined in blood donors.,PLoS One,2023-12-17-22-14-37
30383666,PMC6221562,A case report of recurrent Merkel cell carcinoma with synchronous metastases to the heart and stomach.,Medicine (Baltimore),2023-12-17-22-14-37
30414538,PMC6226622,Neuroendocrine Key Regulator Gene Expression in Merkel Cell Carcinoma.,Neoplasia,2023-12-17-22-14-37
30417062,PMC6216094,A case of combined Merkel cell carcinoma and squamous cell carcinoma: Molecular insights and diagnostic pitfalls.,JAAD Case Rep,2023-12-17-22-14-37
30441870,PMC6267432,MiR-375 Regulation of LDHB Plays Distinct Roles in Polyomavirus-Positive and -Negative Merkel Cell Carcinoma.,Cancers (Basel),2023-12-17-22-14-37
30450405,PMC6226586,Talimogene laherparepvec in combination with pembrolizumab leads to a complete response in a patient with refractory Merkel cell carcinoma.,JAAD Case Rep,2023-12-17-22-14-37
30455885,PMC6230652,A novel report of a primary Merkel cell carcinoma lesion in the nasal vestibule.,Clin Case Rep,2023-12-17-22-14-37
30481100,PMC6605872,"Product review: avelumab, an anti-PD-L1 antibody.",Hum Vaccin Immunother,2023-12-17-22-14-37
30482247,PMC6258401,Merkel cell polyomavirus-specific immune responses in patients with Merkel cell carcinoma receiving anti-PD-1 therapy.,J Immunother Cancer,2023-12-17-22-14-37
30498488,PMC6250093,Editorial: Human Papillomaviruses and Polyomaviruses in Skin Cancer.,Front Microbiol,2023-12-17-22-14-37
30510152,PMC6287448,A Spontaneous Regression of an Isolated Lymph Node Metastasis from a Primary Unknown Merkel Cell Carcinoma in a Patient with an Idiopathic Hyper-Eosinophilic Syndrome.,Am J Case Rep,2023-12-17-22-14-37
30538875,PMC6261234,Concurrent Hairy Cell Leukemia and Metastatic Merkel Cell Carcinoma.,Case Rep Oncol Med,2023-12-17-22-14-37
30595751,PMC6280769,ASCO Congress 2018: melanoma treatment.,Memo,2023-12-17-22-14-37
30631766,PMC6315146,"Cytokines, Chemokines, and Other Biomarkers of Response for Checkpoint Inhibitor Therapy in Skin Cancer.",Front Med (Lausanne),2023-12-17-22-14-37
30643806,PMC6311317,Cutaneous Malignancy due to Arsenicosis in Bangladesh: 12-Year Study in Tertiary Level Hospital.,Biomed Res Int,2023-12-17-22-14-37
30666132,PMC6334783,Merkel cell carcinoma of the thigh: case report and review of the literature.,Onco Targets Ther,2023-12-17-22-14-37
30671549,PMC6327905,Successful immunotherapy and irradiation in a HIV-positive patient with metastatic Merkel cell carcinoma.,Clin Transl Radiat Oncol,2023-12-17-22-14-37
30675444,PMC6336210,Spontaneous Regression of Merkel Cell Carcinoma of the Male Breast with Ongoing Immune Response.,Cureus,2023-12-17-22-14-37
30680676,PMC6710317,Cost Effectiveness of Avelumab for Metastatic Merkel Cell Carcinoma.,Pharmacoecon Open,2023-12-17-22-14-37
30689667,PMC6366716,Merkel cell polyomavirus Tumor antigens expressed in Merkel cell carcinoma function independently of the ubiquitin ligases Fbw7 and β-TrCP.,PLoS Pathog,2023-12-17-22-14-37
30721341,PMC6447510,Early objective response to avelumab treatment is associated with improved overall survival in patients with metastatic Merkel cell carcinoma.,Cancer Immunol Immunother,2023-12-17-22-14-37
30733932,PMC6354572,Merkel Cell Polyoma Viral Load and Intratumoral CD8+ Lymphocyte Infiltration Predict Overall Survival in Patients With Merkel Cell Carcinoma.,Front Oncol,2023-12-17-22-14-37
30738003,PMC6717815,"Case of fulminant type 1 diabetes induced by the anti-programmed death-ligand 1 antibody, avelumab.",J Diabetes Investig,2023-12-17-22-14-37
30797188,PMC6384317,Characterizing the Therapeutic Potential of a Potent BET Degrader in Merkel Cell Carcinoma.,Neoplasia,2023-12-17-22-14-37
30820877,PMC6522614,Merkel Cell Carcinoma: Therapeutic Update and Emerging Therapies.,Dermatol Ther (Heidelb),2023-12-17-22-14-37
30852509,PMC6424177,Primary parotid Merkel cell carcinoma: a first imagery and treatment response assessment by 18F-FDG PET.,BMJ Case Rep,2023-12-17-22-14-37
30863106,PMC6388979,Merkel cell carcinoma metastatic to cervical lymph node in a patient with rheumatoid arthritis: a case report.,Onco Targets Ther,2023-12-17-22-14-37
30917810,PMC6438018,Correction to: Psychometric properties of the FACT-M questionnaire in patients with Merkel cell carcinoma.,Health Qual Life Outcomes,2023-12-17-22-14-37
30938171,PMC6446430,An Unusual Presentation of Merkel Cell Carcinoma in a HIV Patient: A Case Report and Literature Review.,J Investig Med High Impact Case Rep,2023-12-17-22-14-37
30950224,PMC6536956,Travel burden associated with rare cancers: The example of Merkel cell carcinoma.,Cancer Med,2023-12-17-22-14-37
30963085,PMC6434058,A rare case of Merkel cell carcinoma with ovarian metastasis.,Gynecol Oncol Rep,2023-12-17-22-14-37
30980481,PMC6617853,Time-Varying Clearance and Impact of Disease State on the Pharmacokinetics of Avelumab in Merkel Cell Carcinoma and Urothelial Carcinoma.,CPT Pharmacometrics Syst Pharmacol,2023-12-17-22-14-37
30999681,PMC6514765,"Advances in the Understanding of Skin Cancer: Ultraviolet Radiation, Mutations, and Antisense Oligonucleotides as Anticancer Drugs.",Molecules,2023-12-17-22-14-37
31015490,PMC6478859,The Piezo2 ion channel is mechanically activated by low-threshold positive pressure.,Sci Rep,2023-12-17-22-14-37
31024834,PMC6459944,Rescue of Immunotherapy-Refractory Metastatic Merkel Cell Carcinoma With Conventionally Fractionated Radiotherapy and Concurrent Pembrolizumab.,Front Oncol,2023-12-17-22-14-37
31038462,PMC6611693,Technological Innovations in Disease Management: Text Mining US Patent Data From 1995 to 2017.,J Med Internet Res,2023-12-17-22-14-37
31048649,PMC6505435,Upper eyelid Merkel cell carcinoma treated with neoadjuvant chemotherapy and surgical excision.,Arch Craniofac Surg,2023-12-17-22-14-37
31049380,PMC6479110,Paraneoplastic cerebellar ataxia in Merkel cell carcinoma of unknown primary.,JAAD Case Rep,2023-12-17-22-14-37
31127879,PMC6857863,No Association between Merkel Cell Polymavirus Infection and Keratoacanthoma in Korean Patients.,Asian Pac J Cancer Prev,2023-12-17-22-14-37
31142383,PMC6541996,Metastatic Merkel cell carcinoma and myasthenia gravis: contraindication for therapy with immune checkpoint inhibitors?,J Immunother Cancer,2023-12-17-22-14-37
31143109,PMC6528093,Merkel Cell Carcinoma of the Head in a Young African Albino Woman with HIV/HTLV-1 Coinfection Associated with Multiple Squamous Cell Carcinomas.,Case Rep Dermatol,2023-12-17-22-14-37
31148874,PMC6537690,Primary Cutaneous Neuroendocrine Carcinoma with Diffuse Expression of Thyroid Transcription Factor-1: Report of Two Cases.,Indian J Dermatol,2023-12-17-22-14-37
31164102,PMC6549366,"Diffuse lichen planus-like keratoses and clinical pseudo-progression associated with avelumab treatment for Merkel cell carcinoma, a case report.",BMC Cancer,2023-12-17-22-14-37
31180579,PMC7003823,Merkel cell polyomavirus oncoproteins induce microRNAs that suppress multiple autophagy genes.,Int J Cancer,2023-12-17-22-14-37
31190927,PMC6535410,Budget impact model of avelumab in patients with metastatic merkel cell carcinoma in the US.,Clinicoecon Outcomes Res,2023-12-17-22-14-37
31198464,PMC6542396,Multiple Epidermal Cysts of the Scalp: Dermatosurgical Approach with Favourable Outcome!,Open Access Maced J Med Sci,2023-12-17-22-14-37
31205619,PMC6558092,Application of PD-1 Blockade in Cancer Immunotherapy.,Comput Struct Biotechnol J,2023-12-17-22-14-37
31245285,PMC6579919,Histogenesis of Merkel Cell Carcinoma: A Comprehensive Review.,Front Oncol,2023-12-17-22-14-37
31250217,PMC6748883,"Treatment Patterns, Overall Survival, and Total Healthcare Costs of Advanced Merkel Cell Carcinoma in the USA.",Appl Health Econ Health Policy,2023-12-17-22-14-37
31256560,PMC6615417,Two separate nodules of Merkel cell carcinoma occurring concomitantly on one cheek.,Arch Craniofac Surg,2023-12-17-22-14-37
31287031,PMC6615256,"Rescue therapy for patients with anti-PD-1-refractory Merkel cell carcinoma: a multicenter, retrospective case series.",J Immunother Cancer,2023-12-17-22-14-37
31297183,PMC6600856,What's new in HIV dermatology?,F1000Res,2023-12-17-22-14-37
31302319,PMC6626978,Advanced Merkel cell carcinoma of the lower extremity treated with surgery and isolated pelvic and limb perfusion using Melphalan: A case of unexpected long-term survival.,Int J Surg Case Rep,2023-12-17-22-14-37
31350728,PMC6822847,Survival Analysis in Patients with Metastatic Merkel Cell Carcinoma Treated with Avelumab.,Adv Ther,2023-12-17-22-14-37
31355203,PMC6635480,Updates on the Systemic Treatment of Advanced Non-melanoma Skin Cancer.,Front Med (Lausanne),2023-12-17-22-14-37
31370278,PMC6721560,Role and Therapeutic Targeting of the PI3K/Akt/mTOR Signaling Pathway in Skin Cancer: A Review of Current Status and Future Trends on Natural and Synthetic Agents Therapy.,Cells,2023-12-17-22-14-37
31466237,PMC6770690,CRISPR/Cas9 Editing of the Polyomavirus Tumor Antigens Inhibits Merkel Cell Carcinoma Growth In Vitro.,Cancers (Basel),2023-12-17-22-14-37
31488176,PMC6729004,Immune checkpoint inhibitors of PD-L1 as cancer therapeutics.,J Hematol Oncol,2023-12-17-22-14-37
31497603,PMC6712997,Dermoscopy of Melanoma and Non-melanoma Skin Cancers.,Front Med (Lausanne),2023-12-17-22-14-37
31516997,PMC6728723,Talimogene laherparepvec induces durable response of regionally advanced Merkel cell carcinoma in 4 consecutive patients.,JAAD Case Rep,2023-12-17-22-14-37
31527246,PMC6778204,Conversion of Sox2-dependent Merkel cell carcinoma to a differentiated neuron-like phenotype by T antigen inhibition.,Proc Natl Acad Sci U S A,2023-12-17-22-14-37
31543781,PMC6738145,Hypercalcaemia due to Sarcoidosis during Treatment with Avelumab for Metastatic Merkel Cell Carcinoma.,Case Rep Oncol,2023-12-17-22-14-37
31550749,PMC6759446,Merkel cell carcinoma: A series of seven cases.,Arch Plast Surg,2023-12-17-22-14-37
31552251,PMC6736988,Aryl Hydrocarbon Receptor Modulates Carcinogenesis and Maintenance of Skin Cancers.,Front Med (Lausanne),2023-12-17-22-14-37
31553054,PMC7027979,Changing Body Weight-Based Dosing to a Flat Dose for Avelumab in Metastatic Merkel Cell and Advanced Urothelial Carcinoma.,Clin Pharmacol Ther,2023-12-17-22-14-37
31583169,PMC6763669,Brain metastasis of Merkel cell carcinoma - A rare case report.,Surg Neurol Int,2023-12-17-22-14-37
31595235,PMC6726304,Merkel cell carcinoma and the challenge in its approach: a review based on a clinical context of immunosuppression.,Porto Biomed J,2023-12-17-22-14-37
31600537,PMC7166130,"Merkel cell polyomavirus is implicated in a subset of Merkel cell carcinomas, in the Indian subcontinent.",Microb Pathog,2023-12-17-22-14-37
31616210,PMC6791150,Principles of prophylactic and therapeutic management of skin toxicity during treatment with checkpoint inhibitors.,Postepy Dermatol Alergol,2023-12-17-22-14-37
31616771,PMC6722328,Mercurial Metastatic Merkel Cell Carcinoma: A Case of Colonic Involvement.,ACG Case Rep J,2023-12-17-22-14-37
31626116,PMC6824798,Merkel cell carcinoma in Taiwan: A series of 24 cases and literature review.,Medicine (Baltimore),2023-12-17-22-14-37
31640749,PMC6805356,A pilot study of alternative TrkAIII splicing in Merkel cell carcinoma: a potential oncogenic mechanism and novel therapeutic target.,J Exp Clin Cancer Res,2023-12-17-22-14-37
31649970,PMC6804468,"Complete clinical response to intralesional talimogene laherparepvec injection in a patient with recurrent, regionally advanced Merkel cell carcinoma.",JAAD Case Rep,2023-12-17-22-14-37
31656712,PMC6812966,Definitive Radiation Therapy for Merkel Cell Carcinoma Misdiagnosed as a Metastatic Tumor: A Case Report.,Cureus,2023-12-17-22-14-37
31689874,PMC6946434,Lymph node identification in skin malignancy using indocyanine green transcutaneously study: Study protocol for a diagnostic accuracy study.,Medicine (Baltimore),2023-12-17-22-14-37
